iter	Passed	Remaining
641	80693	44997
642	80817	44870
643	80938	44742
644	81059	44614
645	81181	44486
646	81299	44356
647	81414	44225
648	81529	44093
649	81659	43970
650	81781	43842
651	81895	43711
652	82022	43586
653	82142	43457
654	82257	43326
655	82371	43195
656	82489	43065
657	82602	42932
658	82727	42807
659	82852	42681
660	82985	42559
661	83116	42437
662	83235	42308
663	83353	42178
664	83476	42051
665	83592	41921
666	83711	41792
667	83837	41667
668	83965	41543
669	84093	41419
670	84221	41294
671	84347	41169
672	84461	41038
673	84579	40909
674	84695	40779
675	84807	40647
676	84946	40528
677	85081	40407
678	85210	40283
679	85339	40159
680	85476	40039
681	85608	39917
682	85744	39796
683	85856	39664
684	85983	39539
685	86085	39403
686	86209	39277
687	86336	39152
688	86452	39022
689	86583	38899
690	86713	38776
691	86846	38654
692	86960	38523
693	87076	38393
694	87192	38264
695	87328	38143
696	87435	38010
697	87554	37881
698	87677	37755
699	87807	37631
700	87932	37506
701	88070	37386
702	88185	37255
703	88293	37123
704	88431	37003
705	88560	36879
706	88691	36756
707	88820	36632
708	88947	36507
709	89072	36381
710	89205	36259
711	89347	36140
712	89489	36021
713	89624	35899
714	89759	35778
715	89890	35654
716	90010	35527
717	90126	35397
718	90254	35273
719	90379	35147
720	90480	35012
721	90589	34880
722	90706	34751
723	90833	34626
724	90944	34496
725	91074	34372
726	91193	34244
727	91302	34113
728	91425	33986
729	91533	33854
730	91664	33731
731	91783	33603
732	91902	33475
733	92023	33348
734	92156	33226
735	92279	33100
736	92396	32971
737	92524	32847
738	92644	32720
739	92769	32594
740	92893	32468
741	93004	32338
742	93127	32212
743	93256	32088
744	93366	31957
745	93498	31834
746	93624	31709
747	93735	31579
748	93851	31450
749	93983	31327
750	94111	31203
751	94220	31072
752	94344	30946
753	94457	30817
754	94592	30695
755	94716	30569
756	94837	30443
757	94953	30314
758	95086	30192
759	95227	30071
760	95352	29946
761	95473	29819
762	95596	29693
763	95720	29568
764	95847	29443
765	95967	29316
766	96102	29194
767	96221	29066
768	96352	28943
769	96463	28813
770	96590	28688
771	96701	28559
772	96828	28434
773	96948	28307
774	97082	28185
775	97201	28058
776	97333	27934
777	97444	27805
778	97564	27678
779	97675	27549
780	97794	27422
781	97924	27298
782	98047	27172
783	98183	27050
784	98296	26922
785	98426	26797
786	98531	26667
787	98661	26543
788	98795	26420
789	98913	26293
790	99046	26170
791	99151	26039
792	99271	25913
793	99391	25786
794	99520	25662
795	99644	25536
796	99764	25410
797	99887	25284
798	100004	25157
799	100113	25028
800	100240	24903
801	100363	24778
802	100493	24654
803	100626	24530
804	100744	24404
805	100874	24280
806	100975	24149
807	101111	24026
808	101225	23898
809	101356	23774
810	101484	23650
811	101607	23524
812	101730	23399
813	101849	23272
814	102014	23156
815	102150	23033
816	102275	22908
817	102406	22784
818	102527	22658
819	102658	22534
820	102786	22410
821	102914	22285
822	103035	22159
823	103147	22031
824	103279	21907
825	103401	21781
826	103525	21656
827	103645	21530
828	103773	21405
829	103892	21279
830	104017	21153
831	104125	21025
832	104242	20898
833	104362	20772
834	104470	20643
835	104600	20519
836	104723	20394
837	104865	20272
838	104974	20144
839	105086	20016
840	105224	19893
841	105350	19768
842	105462	19641
